Bundesland;BM;Bf. Nr.;Station;Bf DS 100 Abk.;Kat. Vst;Straße;PLZ;Ort;Aufgabenträger;Verkehrsverb.;Fernverkehr;Nahverkehr
Nordrhein-Westfalen;Aachen;1;Aachen Hbf;KA;2;Bahnhofplatz 2a;52064;Aachen;Zweckverband Nahverkehr Rheinland GmbH;AVV.;ja;ja
Nordrhein-Westfalen;Aachen;2;Aachen-Rothe Erde;KARE;4;Beverstr. 48;52066;Aachen;Zweckverband Nahverkehr Rheinland GmbH;AVV.;nein;ja
Nordrhein-Westfalen;Aachen;3;Aachen West;KAW;5;Republikplatz 1;52072;Aachen;Zweckverband Nahverkehr Rheinland GmbH;AVV.;nein;ja
Nordrhein-Westfalen;Aachen;184;Arsbeck;KARS;7;Heidestr.1;41844;Wegberg;Zweckverband Nahverkehr Rheinland GmbH;AVV.;nein;ja
Nordrhein-Westfalen;Aachen;235;Hückelhoven-Baal;KBA;4;Bahnstr.11;41836;Hückelhoven-Baal;Zweckverband Nahverkehr Rheinland GmbH;AVV.;nein;ja
Nordrhein-Westfalen;Aachen;447;Bedburg (Erft);KBE;6;Bahnstr.15;50181;Bedburg (Erft);Zweckverband Nahverkehr Rheinland GmbH;;nein;ja
Nordrhein-Westfalen;Aachen;507;Bergheim (Erft);KBEE;6;Kölnerstr. 1;50126;Bergheim ;Zweckverband Nahverkehr Rheinland GmbH;;nein;ja
Nordrhein-Westfalen;Aachen;757;Boisheim;KBOI;6;Raiffeisenstr. 13;41751;Viersen;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;810;Brachelen;KBRC;6;Hans-Horrig-Str. 46;41836;Hückelhoven;Zweckverband Nahverkehr Rheinland GmbH;AVV.;nein;ja
Nordrhein-Westfalen;Aachen;883;Nettetal-Breyell;KBRY;6;Josefstr.2;41334;Nettetal;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;962;Buir;KBUH;5;An der Brennerei 2;50170;Kerpen;Zweckverband Nahverkehr Rheinland GmbH;AVV.;nein;ja
Nordrhein-Westfalen;Aachen;1011;Büttgen;KBUT;6;Driescher Birkhofstraße 1;41564;Kaarst;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;1114;Dalheim;KDAL;6;Bahnhofstr. 12;41844;Wegberg;Zweckverband Nahverkehr Rheinland GmbH;AVV.;nein;ja
Nordrhein-Westfalen;Aachen;1274;Dormagen;KDO;4;Willy-Brandt-Platz 87;41540;Dormagen;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;1389;Viersen-Dülken;KDUL;5;Am Bahnhof 1;41751;Viersen;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;1392;Düren;KDN;3;Hauptbahnhof 1;52349;Düren;Zweckverband Nahverkehr Rheinland GmbH;AVV.;nein;ja
Nordrhein-Westfalen;Aachen;1515;Eilendorf;KEIL;5;Hansmannstr.23;52080;Aachen;Zweckverband Nahverkehr Rheinland GmbH;;nein;ja
Nordrhein-Westfalen;Aachen;1643;Erkelenz;KERZ;4;Konrad-Adenauer-Platz 1;41812;Erkelenz;Zweckverband Nahverkehr Rheinland GmbH;AVV.;nein;ja
Nordrhein-Westfalen;Aachen;1680;Eschweiler Hbf;KE;4;Reigate u. Bansteadt-Platz 1;52249;Eschweiler;Zweckverband Nahverkehr Rheinland GmbH;AVV.;nein;ja
Nordrhein-Westfalen;Aachen;1963;Frimmersdorf;KFRI;6;Erfstr. 1;41517;Grevenbroich;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;;nein;ja
Nordrhein-Westfalen;Aachen;2037;Geilenkirchen;KGEK;5;Bahnhofstr. 1;52511;Geilenkirchen;Zweckverband Nahverkehr Rheinland GmbH;AVV.;nein;ja
Nordrhein-Westfalen;Aachen;2145;Glesch;KGL;6;Niederempter Straße 1;50126;Bergheim;Zweckverband Nahverkehr Rheinland GmbH;VRR;nein;ja
Nordrhein-Westfalen;Aachen;2263;Grevenbroich;KGRB;4;Bahnhofsvorplatz 17;41051;Grevenbroich;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;2431;Gustorf;KGUS;6;Josef-Bremer-Platz 4;41517;Grevenbroich;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;2725;Herrath;KHER;6;Seidenweberstr. 56;41189;Mönchengladbach;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;2744;Herzogenrath;KHEZ;3;Bahnhofstr. 1;52134;Herzogenrath;Zweckverband Nahverkehr Rheinland GmbH;AVV;ja;ja
Nordrhein-Westfalen;Aachen;2804;Hochneukirch;KHOK;6;Bahnhofstr. 87;41363;Jüchen;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;2887;Holzheim (b Neuss);KHOZ;6;Zufahrtsstr. 1;41472;Neuss;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;2919;Horrem;KHR;3;Bahnhofstr. 9;50169;Kerpen;Zweckverband Nahverkehr Rheinland GmbH;;nein;ja
Nordrhein-Westfalen;Aachen;3065;Jüchen;KJUC;6;Silostraße 7;41363;Jüchen;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;3087;Kaldenkirchen;KKAK;5;Bahnhofstr. 2;41334;Nettetal;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;3102;Kapellen-Wevelinghoven;KKAW;6;Josef-Thiemen-Str. 1;41516;Grevenbroich;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;3247;Kleinenbroich;KKLE;6;Ladestraße 2;41352;Korschenbroich;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;3309;Kohlscheid;KKOS;6;Bahnhofstr. 1;52134;Herzogenrath;Zweckverband Nahverkehr Rheinland GmbH;AVV.;nein;ja
Nordrhein-Westfalen;Aachen;3380;Korschenbroich;KKOI;6;Am Bahnhof 1;41352;Korschenbroich;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;3557;Langerwehe;KLAW;5;Bahnhofsplatz 14;52379;Langerwehe;Zweckverband Nahverkehr Rheinland GmbH;AVV.;nein;ja
Nordrhein-Westfalen;Aachen;3734;Lindern;KLD;4;Linderner Bahn 7;52511;Geilenkirchen;Zweckverband Nahverkehr Rheinland GmbH;AVV.;nein;ja
Nordrhein-Westfalen;Aachen;4162;Mönchengladbach Hbf;KM;2;Europaplatz 1;41061;Mönchengladbach;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;ja;ja
Nordrhein-Westfalen;Aachen;4163;Mönchengladbach-Lürrip;KML;6;Volksbadstraße 63;41065;Mönchengladbach;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;4164;Mönchengladbach-Genhausen;KMGE;6;Genhausen 1;41179;Mönchengladbach;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;4165;Mönchengladbach-Rheindahlen;KMR;7;An der Bahn 4;41179;Mönchengladbach;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;4439;Neuss Am Kaiser;KNAK;5;Düsseldorferstr. 182;41460;Neuss;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;4440;Neuss Hbf;KN;2;Further Str. 1;41462;Neuss;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;ja;ja
Nordrhein-Westfalen;Aachen;4441;Neuss Rheinpark-Center;KNRC;5;An der Hammer Brücke 1;41460;Neuss;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;4442;Neuss Süd;KNSD;6;Hölderlinstraße 17;41464;Neuss;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;4554;Nievenheim;KNIV;6;Johannesstr. 8;41542;Dormagen;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;4583;Norf;KNO;5;Bahnstr. 28;41469;Neuss;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;4850;Paffendorf;KPFF;6;Schnitteweg 15;50126;Bergheim;Zweckverband Nahverkehr Rheinland GmbH;;nein;ja
Nordrhein-Westfalen;Aachen;5065;Quadrath-Ichendorf;KQ;6;Frenserstr. 11;50127;Bergheim;Zweckverband Nahverkehr Rheinland GmbH;VRS;nein;ja
Nordrhein-Westfalen;Aachen;5260;Rheydt Hbf;KRY;4;Bahnhofstr. 50;41236;Mönchengladbach;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;ja;ja
Nordrhein-Westfalen;Aachen;5261;Rheydt-Odenkirchen;KRYO;6;Korbleiche 2a;41199;Mönchengladbach;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;5485;Merzenich;KMEZ;5;Obererz 1;52353;Düren;Zweckverband Nahverkehr Rheinland GmbH;;nein;ja
Nordrhein-Westfalen;Aachen;5864;Sindorf;KSIU;6;Schulze Delitzsch Straße 8;50170;Kerpen;Zweckverband Nahverkehr Rheinland GmbH;AVV.;nein;ja
Nordrhein-Westfalen;Aachen;6037;Stolberg (Rheinl) Hbf;KST;4;Gustav-Wassillikowitsch-Platz 1;52222;Stolberg (Rheinl);Zweckverband Nahverkehr Rheinland GmbH;AVV.;nein;ja
Nordrhein-Westfalen;Aachen;6297;Übach-Palenberg;KUBP;5;Bahnhofstr. 17;52531;Übach-Palenberg;Zweckverband Nahverkehr Rheinland GmbH;;nein;ja
Nordrhein-Westfalen;Aachen;6415;Viersen;KV;3;Bahnhofsplatz 1;41747;Viersen;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;6584;Wegberg;KWEG;6;Am Bahnhof 9;41844;Wegberg;Zweckverband Nahverkehr Rheinland GmbH;AVV.;nein;ja
Nordrhein-Westfalen;Aachen;6733;Wickrath;KWIC;6;Bahnhofsplatz 5;41189;Mönchengladbach;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;VRR;nein;ja
Nordrhein-Westfalen;Aachen;7021;Zieverich;KZI;5;Lechenicherstr. 1;50126;Bergheim;Zweckverband Nahverkehr Rheinland GmbH;VRS;nein;ja
Nordrhein-Westfalen;Aachen;7205;Aachen Schanz;KASZ;5;Vaalserstraße 15;52064;Aachen;Zweckverband Nahverkehr Rheinland GmbH;AVV.;nein;ja
Nordrhein-Westfalen;Aachen;7656;Neuss Allerheiligen;KNAL;6;Am Pickenhof 1;41470;Neuss;Zweckverband Verkehrsverbund Rhein-Ruhr AöR;;nein;ja
Bayern;Augsburg;34;Aichach;MAI;5;Bahnhofstr. 25;86551;Aichach;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;52;Aletshausen;MALH;7;Bahnhofstr. 1;86480;Aletshausen;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;110;Altenstadt (Iller);MASI;6;Bahnhofstr. 1;89281;Altenstadt;Bayerische Eisenbahngesellschaft mbH;DING;nein;ja
Bayern;Augsburg;117;Althegnenberg;MAHB;5;Bahnhofstr. 7;82278;Althegnenberg;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;131;Altstädten (Allgäu);MATS;6;Töpferweg 14;87527;Sonthofen;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;219;Augsburg Haunstetterstraße;MAHA;3;Haunstetter Str. 1;86161;Augsburg;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;220;Augsburg Hbf;MA;2;Viktoriastr. 1;86150;Augsburg;Bayerische Eisenbahngesellschaft mbH;AVV;ja;ja
Bayern;Augsburg;222;Augsburg Morellstraße;MAMS;6;Morellstr. 1;86159;Augsburg;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;223;Augsburg-Hochzoll;MAHZ;3;Hochzollerstr. 19;86163;Augsburg;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;224;Augsburg-Oberhausen;MAOB;4;Ulmerstr. 53;86154;Augsburg;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;367;Bad Wörishofen;MBWH;6;Bahnhofsplatz 1;86825;Bad Wörishofen;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;429;Bäumenheim;MBHM;6;Bahnhofstr. 3;86663;Bäumenheim;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;474;Bellenberg;MBNB;6;Bahnhofstr. 11;89287;Bellenberg;Bayerische Eisenbahngesellschaft mbH;DING;nein;ja
Bayern;Augsburg;634;Biessenhofen;MBIH;5;Poststraße 4;87640;Biessenhofen;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;642;Billenhausen;MBIN;7;Pfarrer Eggerweg 1;86381;Krumbach (Schwaben);Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;682;Blaichach (Allgäu);MBLH;6;Bahnhofweg 2;87544;Blaichach ;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;708;Blindheim;MBLM;6;An der Bahn 8;89434;Blindheim;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;717;Bobingen;MBOB;4;Bahnhofsplatz 2;86399;Bobingen;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;734;Bodelsberg;MBOD;7;Bodelsberg 4;87477;Sulzberg;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;849;Breitenbrunn (Schwab);MBRN;7;Bahnhofstr. 35;87739;Breitenbrunn;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;944;Buchloe;MBU;3;Bahnhofstr. 62;86807;Buchloe;Bayerische Eisenbahngesellschaft mbH;;ja;ja
Bayern;Augsburg;979;Burgau (Schwab);MBGU;5;Am Bahnhof 16;89331;Burgau;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;1134;Dasing;MDAG;6;Bahnhofstr. 8;86453;Dasing;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;1196;Diedorf (Schwab);MDID;5;Bahnhofstr. 1;86420;Diedorf;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;1209;Dietmannsried;MDRD;6;Bahnhofstr. 32;87463;Dietmannsried;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;1215;Dillingen (Donau);MDIL;5;Bahnhofstr. 2;89407;Dillingen;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;1222;Dinkelscherben;MDKS;5;Bahnhofstr. 6;86424;Dinkelscherben;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;1265;Donauwörth;MDT;4;Bahnhofstr. 34;86609;Donauwörth;Bayerische Eisenbahngesellschaft mbH;AVV;ja;ja
Bayern;Augsburg;1391;Durach;MDUH;6;Bahnhofstr. 3;87471;Durach;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;1430;Ebenhofen;MEBH;7;Bahnhofstr. 1 ;87640;Biessenhofen;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;1434;Ebermergen;MEBM;7;Bahnweg 1;86655;Harburg (Schwaben);Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;1555;Ellzee;MELZ;7;Am Bahnhof 1;89352;Ellzee;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;1609;Enzisweiler;MENW;6;Untere Steig 4;88131;Bodolz;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;1794;Finningerstraße;MFNS;6;Finningerstr. 1;89231;Neu-Ulm;Bayerische Eisenbahngesellschaft mbH;DING;nein;ja
Bayern;Augsburg;1803;Fischen;MFN;5;Bahnhofstr. 1;87538;Fischen;Bayerische Eisenbahngesellschaft mbH;;ja;ja
Bayern;Augsburg;1903;Freihalden;MFHD;6;Augsburger Str. 1;89343;Jettingen-Scheppach;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;1929;Friedberg (b Augsburg);MFDB;6;Bahnhofstr. 28;86316;Friedberg;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;1992;Füssen;MFSN;6;Bahnhofstr. 12;87629;Füssen;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;1993;Gablingen;MGAL;5;Bahnhofstr. 6;86456;Gablingen;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;2061;Genderkingen;MGKG;7;Am Bahnhof 1;86682;Genderkingen;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;2089;Gerlenhofen;MGLH;6;Hausenerstr. 20;89233;Neu-Ulm;Bayerische Eisenbahngesellschaft mbH;DING;nein;ja
Bayern;Augsburg;2104;Gersthofen;MGHF;6;Bahnhofstr. 110;86368;Gersthofen;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;2110;Gessertshausen;MGHN;5;Deubacher Str. 1;86459;Gessertshausen;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;2289;Bad Grönenbach;MGNB;6;Raiffeisenstr. 10;87730;Grönenbach;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;2413;Gundelfingen (Bay);MGUF;6;Bahnhofstr. 52;89423;Gundelfingen;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;2421;Günzach;MGNZ;6;Bahnhofplatz 3;87634;Günzach;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;2422;Günzburg;MGZB;3;Bahnhofplatz 5;89312;Günzburg;Bayerische Eisenbahngesellschaft mbH;;ja;ja
Bayern;Augsburg;2555;Harburg (Schwab);MHRG;6;Bahnhofstr. 17;86655;Harburg (Schwaben);Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;2579;Haspelmoor;MHMR;6;Bahnhofstr. 1;82285;Hattenhofen;Bayerische Eisenbahngesellschaft mbH;MVV;nein;ja
Bayern;Augsburg;2599;Haupeltshofen;MHPH;7;Oberfeld 3;86480;Aletshausen;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;2604;Hausen (Schwab);MHNS;7;Mindelheimer Str. 61;87775;Salgen;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;2659;Heimenkirch;MHMK;6;Bahnhofstr. 7;88178;Heimenkirch;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;2697;Herbertshofen;MHEH;6;Am Bahnhof 2;86405;Meitingen;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;2709;Hergatz;MHGZ;6;Bahnhofstr. 4;88145;Hergatz;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;2789;Hirschfelden;MHFN;7;Am Bahnhof 1;86381;Krumbach (Schwaben);Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;2808;Höchstädt (Donau);MHDT;6;Bahnhofstr. 19;89420;Höchstädt ;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;2813;Hochwang;MHWG;7;Bahnstr. 37;89335;Ichenhausen;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;2904;Hoppingen;MHOP;7;Hauptstr. 1;86655;Harburg (Schwaben);Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;2962;Ichenhausen;MIHN;6;Am Bahnhof 2;89335;Ichenhausen;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;2972;Illertissen;MILT;5;Bahnhofstr. 2;89257;Illertissen;Bayerische Eisenbahngesellschaft mbH;DING;nein;ja
Bayern;Augsburg;2986;Immenstadt;MIMS;4;Bahnhofstr. 39;87509;Immenstadt;Bayerische Eisenbahngesellschaft mbH;;ja;ja
Bayern;Augsburg;2997;Inningen;MINI;6;Benedikbeurerstr. 30;86199;Augsburg;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;3053;Jettingen;MJET;6;Bahnhofstr. 4;89343;Jettingen;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;3141;Kaufbeuren;MKFB;4;Ganghoferstr. 42;87600;Kaufbeuren;Bayerische Eisenbahngesellschaft mbH;;ja;ja
Bayern;Augsburg;3151;Kellmünz;MKMZ;5;Bahnhofstr. 2;89293;Kellmünz;Bayerische Eisenbahngesellschaft mbH;DING;nein;ja
Bayern;Augsburg;3155;Kempten (Allgäu) Hbf;MKP;3;Bahnhofplatz 2;87435;Kempten ;Bayerische Eisenbahngesellschaft mbH;;ja;ja
Bayern;Augsburg;3156;Kempten (Allgäu) Ost;MKPO;6;Ulmer Str. 2;87437;Kempten ;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;3210;Kissing;MKIS;4;Bahnhofsallee 10;86438;Kissing;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;3253;Kleinkötz;MKKZ;7;Bahnhofstr. 1;89359;Kötz;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;3284;Klosterlechfeld;MKLF;6;Bahnhofstr. 17;86836;Klosterlechfeld;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;3437;Krumbach (Schwab);MKRB;6;Bahnhofstr. 55;86381;Krumbach;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;3438;Krumbach (Schwab) Schule;MKRS;6;Ligusterweg;86381;Krumbach ;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;3479;Kutzenhausen;MKUN;6;Maingründeler Str. 21;86500;Kutzenhausen;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;3492;Lagerlechfeld;MLLF;6;Bahnhofstraße 25;86836;Graben;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;3552;Langenwang (Schwab);MLNW;6;Zur Reite 2;87538;Fischen;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;3566;Langweid (Lech);MLAW;5;Flurstr. 1;86462;Langweid ;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;3592;Lauingen;MLIG;6;Bahnhofstr. 5;89415;Lauingen;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;3629;Leipheim;MLEH;5;Bahnhofstr. 12;89340;Leipheim;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;3661;Lengenwang;MLWG;6;Bahnhofstr. 9;87663;Lengenwang;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;3684;Leuterschach;MLSH;7;Mühlbichel 24;87616;Marktoberdorf;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;3727;Lindau Hbf;MLI;3;Am Bahnhof 1;88131;Lindau;Bayerische Eisenbahngesellschaft mbH;;ja;ja
Bayern;Augsburg;3728;Lindau-Aeschach;MLIA;6;Wackerstr.30-32;88131;Lindau;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;3779;Loppenhausen;MLOH;7;Weilerstr.1;87739;Breitenbrunn;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;3946;Maria Rain;MMRN;7;Unter der Brücke B309;87466;Oy-Mittelberg;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;3977;Marktoberdorf;MMO;6;Bahnhofstr. 10;87616;Marktoberdorf;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;3978;Marktoberdorf Schule;MMOS;7;Mühlsteig 23;87616;Marktoberdorf;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;3993;Martinszell (Allgäu);MMSZ;6;Bahnhofstr. 7;87448;Waltenhofen;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;4038;Meitingen;MMEI;5;Bahnhofstr. 4;86405;Meitingen;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;4051;Memmingen;MM;3;Bahnhofstr. 3;87700;Memmingen;Bayerische Eisenbahngesellschaft mbH;;ja;ja
Bayern;Augsburg;4062;Merching;MMEG;7;Westendstr. 1;86504;Merching;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;4064;Mering;MMR;3;Bahnhofstr. 4;86415;Mering;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;4073;Mertingen Bahnhof;MMTG;5;Bahnhofstr. 55;86690;Mertingen;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;4118;Mindelaltheim;MMAH;6;Bahnhofstr. 1;89350;Dürrlauingen;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;4119;Mindelheim;MMH;4;Bahnhofstr. 1;87719;Mindelheim;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;4190;Möttingen;MMTN;6;Romantische Str. 47;86753;Möttingen;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;4303;Nassenbeuren;MNBN;7;Weststr. 29;87719;Mindelheim;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;4341;Nersingen;MNSG;5;Bahnstr. 18;89278;Nersingen;Bayerische Eisenbahngesellschaft mbH;DING;nein;ja
Bayern;Augsburg;4344;Nesselwang;MNEW;6;Bahnhofstr. 18;87484;Nesselwang;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;4357;Neu Ulm;MNM;4;Julius-Rohm-Platz 1;89231;Neu Ulm;Bayerische Eisenbahngesellschaft mbH;DING;ja;ja
Bayern;Augsburg;4367;Neuburg (Kammel);MNBK;6;Bahnhofstr. 1;86476;Neuburg;Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;4435;Neusäß;MNES;5;Fuggerstr. 1;86356;Neusäß;Bayerische Eisenbahngesellschaft mbH;AVV;nein;ja
Bayern;Augsburg;4517;Niederraunau;MNRU;7;Bahnhofstr. 1;86381;Krumbach (Schwaben);Bayerische Eisenbahngesellschaft mbH;;nein;ja
Bayern;Augsburg;4567;Nonnenhorn;MNHN;6;Bahnhofstr. 5;88149;Nonnenhorn;Bayerische Eisenbahngesellschaft mbH;;nein;ja
